STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,WT09,WT01,WT06,WT02,WT11,WT04,WT08,WT03
GHCND:USC00280907,BOONTON 1 SE NJ US,20160611,-9999,-9999,0.00,0.0,0.0,-9999,76,48,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160612,-9999,-9999,0.05,0.0,0.0,-9999,86,50,75,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160613,-9999,-9999,0.00,0.0,0.0,-9999,82,55,55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160614,-9999,-9999,0.00,0.0,0.0,-9999,74,55,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160615,-9999,-9999,0.00,0.0,0.0,-9999,79,54,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160616,-9999,-9999,0.16,0.0,0.0,-9999,85,57,66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160617,-9999,-9999,0.01,0.0,0.0,-9999,73,57,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160618,-9999,-9999,0.00,0.0,0.0,-9999,79,51,62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160619,-9999,-9999,0.00,0.0,0.0,-9999,87,57,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160620,-9999,-9999,0.00,0.0,0.0,-9999,91,58,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160621,-9999,-9999,0.00,0.0,0.0,-9999,91,60,75,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160622,-9999,-9999,0.08,0.0,0.0,-9999,86,57,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160623,-9999,-9999,0.00,0.0,0.0,-9999,85,59,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160624,-9999,-9999,0.00,0.0,0.0,-9999,82,61,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160625,-9999,-9999,0.00,0.0,0.0,-9999,84,58,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160626,-9999,-9999,0.00,0.0,0.0,-9999,86,57,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160627,-9999,-9999,0.00,0.0,0.0,-9999,87,57,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160628,-9999,-9999,0.20,0.0,0.0,-9999,87,59,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160629,-9999,-9999,0.37,0.0,0.0,-9999,76,66,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160630,-9999,-9999,0.00,0.0,0.0,-9999,84,64,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160601,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160602,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160603,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160604,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160605,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160606,-9999,-9999,0.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160607,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160608,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160609,-9999,-9999,0.70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
